horizon,reservation_wages,pr_ext
0,0.799020493917459,extended
1,0.8197849567273705,extended
2,0.8357514288761587,extended
3,0.8483071397823798,extended
4,0.8583508022375599,extended
5,0.8664928229782076,extended
6,0.8731635864493761,extended
7,0.8786758837528629,extended
8,0.8832627972470383,extended
9,0.8871016808951376,extended
10,0.8903298869371377,extended
11,0.8930553967172337,extended
12,0.8953641978825663,extended
13,0.8973255228735212,extended
14,0.898995645269936,extended
15,0.9004206814716195,extended
16,0.9016386923401853,extended
17,0.9026812830941596,extended
18,0.903574837572869,extended
19,0.9043414819898703,extended
20,0.9049998457424494,extended
21,0.9055656679969051,extended
22,0.9060522856707963,extended
23,0.9064710291952282,extended
24,0.9068315458356945,extended
25,0.9071420655681316,extended
26,0.9074096210033507,extended
27,0.907640230257309,extended
0,0.8249264305091343,0.1
1,0.8456908933190459,0.1
2,0.860663145915785,0.1
3,0.871706701482207,0.1
4,0.8799896864995996,0.1
5,0.8862817569828987,0.1
6,0.8911094445620245,0.1
7,0.8948435256673015,0.1
8,0.8977510597532946,0.1
9,0.9000278642856102,0.1
10,0.9018195778770595,0.1
11,0.903235768212018,0.1
12,0.9043596392625582,0.1
13,0.9052548628300129,0.1
14,0.9059704778381538,0.1
15,0.9065444596503063,0.1
0,0.8410681424022313,0.2
1,0.8618326052121428,0.2
2,0.8755543437647468,0.2
3,0.8848571343403157,0.2
4,0.8912888134280134,0.2
5,0.8958084926083603,0.2
6,0.8990311219569522,0.2
7,0.9013607537782753,0.2
8,0.9030677333069008,0.2
9,0.9043355033872419,0.2
10,0.9052899733558334,0.2
11,0.9060184252892675,0.2
12,0.9065819206556694,0.2
13,0.9070235606632231,0.2
14,0.9073740475946329,0.2
15,0.907655462094411,0.2
0,0.8516944989558985,0.30000000000000004
1,0.8724589617658101,0.30000000000000004
2,0.8847903451638824,0.30000000000000004
3,0.892360795638593,0.30000000000000004
4,0.897146972901711,0.30000000000000004
5,0.9002628689588157,0.30000000000000004
6,0.9023550425784681,0.30000000000000004
7,0.9038065387598182,0.30000000000000004
8,0.904847979618361,0.30000000000000004
9,0.9056202641530753,0.30000000000000004
10,0.9062107875883026,0.30000000000000004
11,0.9066746938721039,0.30000000000000004
12,0.90704748527325,0.30000000000000004
13,0.9073525684646063,0.30000000000000004
14,0.907605804274592,0.30000000000000004
15,0.9078182712545413,0.30000000000000004
0,0.8590925565990812,0.4
1,0.8798570194089926,0.4
2,0.8907179147224753,0.4
3,0.8966856773361209,0.4
4,0.9001427517323829,0.4
5,0.9022705278475001,0.4
6,0.9036701982131707,0.4
7,0.9046539444033834,0.4
8,0.9053872689211667,0.4
9,0.905960210056703,0.4
10,0.9064234791786909,0.4
11,0.9068069779339963,0.4
12,0.9071293667396358,0.4
13,0.907403054853648,0.4
14,0.9076368341027712,0.4
15,0.9078372927070446,0.4
0,0.8644930128258294,0.5
1,0.8852574756357409,0.5
2,0.8945989931108502,0.5
3,0.8991568066178042,0.5
4,0.901619808042684,0.5
5,0.903119972681891,0.5
6,0.9041463040058698,0.5
7,0.9049160137049115,0.5
8,0.9055296323750162,0.5
9,0.9060367854837523,0.5
10,0.9064643583618367,0.5
11,0.9068286735605886,0.5
12,0.9071408283519957,0.5
13,0.9074090878965837,0.5
14,0.907640000477927,0.5
15,0.9078389506564871,0.5
0,0.868589591511621,0.6
1,0.8893540543215324,0.6
2,0.8971445995791487,0.6
3,0.9005197878373064,0.6
4,0.9022981588788689,0.6
5,0.9034434466197279,0.6
6,0.9042963710774765,0.6
7,0.9049843437747385,0.6
8,0.9055603369167771,0.6
9,0.9060504511718039,0.6
10,0.9064703975781057,0.6
11,0.9068313282695736,0.6
12,0.9071419905957283,0.6
13,0.9074095951593159,0.6
14,0.9076402213458814,0.6
15,0.9078390466474742,0.6
0,0.871794928085585,0.7000000000000001
1,0.8925593908954965,0.7000000000000001
2,0.8987775276603733,0.7000000000000001
3,0.9012174111264658,0.7000000000000001
4,0.9025730530036008,0.7000000000000001
5,0.9035469955181294,0.7000000000000001
6,0.904334312247008,0.7000000000000001
7,0.9049979978394473,0.7000000000000001
8,0.905565191377091,0.7000000000000001
9,0.9060521626618248,0.7000000000000001
10,0.9064709974312508,0.7000000000000001
11,0.906831537629654,0.7000000000000001
12,0.9071420634473051,0.7000000000000001
13,0.9074096204550417,0.7000000000000001
14,0.9076402301155099,0.7000000000000001
15,0.9078390496843745,0.7000000000000001
0,0.8743670184026912,0.8
1,0.8951314812126026,0.8
2,0.8997620653237575,0.8
3,0.9015260575447018,0.8
4,0.9026619886803411,0.8
5,0.9035715284340529,0.8
6,0.9043409138805426,0.8
7,0.9049997481271621,0.8
8,0.9055656512119601,0.8
9,0.906052282782821,0.8
10,0.9064710286980635,0.8
11,0.9068315457500681,0.8
12,0.9071420655533784,0.8
13,0.9074096210008078,0.8
14,0.9076402302568706,0.8
15,0.9078390497209792,0.8
0,0.8764743571884354,0.9
1,0.8972388199983465,0.9
2,0.900270787141761,0.9
3,0.9016258714517392,0.9
4,0.9026801849201035,0.9
5,0.9035747433993155,0.9
6,0.9043414739060497,0.9
7,0.9049998450479486,0.9
8,0.9055656679371954,0.9
9,0.9060522856656595,0.9
10,0.9064710291947861,0.9
11,0.9068315458356565,0.9
12,0.9071420655681284,0.9
13,0.9074096210033504,0.9
14,0.907640230257309,0.9
15,0.9078390497210548,0.9
